n, Fixed rect., Sliding rect.
10, 2.67602, 4.97965, 0.787523, 2.1643
15, 2.99446, 5.32834, 1.05701, 3.11892
20, 3.21762, 4.76494, 1.05986, 3.13593
25, 3.3582, 5.46269, 1.26406, 3.1469
30, 3.08135, 4.59384, 1.35407, 2.92104
35, 3.65743, 4.94094, 1.78579, 3.06848
40, 2.79207, 4.48825, 1.83443, 2.89187
45, 3.35477, 4.71183, 1.94479, 2.93124
50, 3.53981, 3.91984, 2.54702, 2.68016
55, 4.01127, 4.4736, 2.98323, 2.94146
60, 4.21778, 4.30254, 3.56981, 2.72578
65, 4.14857, 4.4419, 3.46307, 2.9288
70, 4.2028, 4.52312, 4.06126, 2.92218
75, 4.65117, 5.03068, 4.08713, 3.41119
80, 4.32821, 4.91059, 4.03848, 2.97667
85, 4.79191, 5.00563, 4.45902, 3.25719
90, 3.97148, 5.25857, 4.02769, 3.24069
95, 4.10497, 4.94711, 4.24804, 3.29068
100, 4.40443, 5.34031, 3.93497, 3.67754
