n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 5.68184, 3.87337, 5.62895, 3.74222
15, 6.03538, 4.28412, 6.03921, 4.40118
20, 6.03001, 4.33885, 6.04664, 4.4433
25, 6.11522, 4.38806, 6.15965, 4.5317
30, 5.961, 4.12471, 6.03073, 4.32285
35, 5.91414, 4.41101, 5.99593, 4.53476
40, 5.80034, 4.18191, 5.91368, 4.33495
45, 6.03307, 4.29082, 6.15411, 4.38419
50, 6.04675, 4.25485, 6.15067, 4.40507
55, 6.12638, 4.32026, 6.24225, 4.50633
60, 6.11586, 4.23947, 6.17738, 4.39181
65, 6.42445, 4.33906, 6.43006, 4.58097
70, 6.26443, 4.30328, 6.30478, 4.43696
75, 6.29244, 4.34302, 6.28569, 4.51069
80, 6.1862, 4.30508, 6.2439, 4.5234
85, 6.25795, 4.406, 6.28676, 4.5558
90, 6.27318, 4.41113, 6.322, 4.64026
95, 6.36057, 4.36496, 6.42827, 4.61366
100, 6.17931, 4.4295, 6.21532, 4.75691
