n, Fixed rect., Sliding rect.
10, 2.365, 2.50905
15, 3.00307, 3.33737
20, 2.81119, 3.14267
25, 2.91713, 3.33027
30, 2.77027, 3.28297
35, 3.09344, 3.54883
40, 2.69749, 3.30533
45, 3.14387, 3.73294
50, 3.36216, 3.9441
55, 3.62005, 4.08375
60, 3.8266, 4.32251
65, 4.19226, 4.20241
70, 4.40965, 4.32408
75, 4.33573, 4.44704
80, 4.36274, 4.43426
85, 4.19735, 4.30093
90, 4.2376, 4.3352
95, 4.27964, 4.41928
100, 4.28043, 4.46893
