n, Fixed rect., Sliding rect.
10, 2.0726, 1.7539
15, 2.5479, 2.30134
20, 2.84886, 2.75457
25, 4.16319, 3.88601
30, 4.24205, 3.73105
35, 4.99543, 4.24761
40, 5.25829, 4.29781
45, 6.34608, 5.14628
50, 5.92132, 4.44616
55, 6.77375, 5.59764
60, 7.33032, 5.86592
65, 7.65907, 6.14095
70, 8.13289, 6.4861
75, 7.88389, 6.63646
80, 8.30296, 6.47906
85, 7.41611, 6.01265
90, 8.61668, 6.97061
95, 8.47779, 6.52701
100, 8.40843, 6.86858
