n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.30163, 3.60657, 3.3328, 3.43453
15, 3.01391, 3.88902, 3.09399, 3.86918
20, 3.03712, 3.9959, 3.14436, 4.17658
25, 2.91215, 4.1756, 3.08101, 4.41648
30, 2.92348, 4.24008, 3.13423, 4.49384
35, 2.77577, 4.23469, 3.01036, 4.51215
40, 2.83185, 4.30451, 3.05012, 4.71913
45, 2.9526, 4.43554, 3.24842, 4.86331
50, 2.84165, 4.37745, 3.10008, 4.79085
55, 2.99691, 4.4649, 3.29857, 5.02186
60, 3.01387, 4.45263, 3.29314, 4.91875
65, 3.21689, 4.53503, 3.42215, 5.11107
70, 3.18237, 4.61114, 3.43931, 5.16613
75, 3.20407, 4.60186, 3.48272, 5.15997
80, 3.18901, 4.63999, 3.40789, 5.06149
85, 3.20529, 4.6874, 3.44478, 5.22304
90, 3.24919, 4.72223, 3.55456, 5.31113
95, 3.16809, 4.73379, 3.41957, 5.2269
100, 3.20719, 4.76065, 3.49175, 5.29297
