n, Fixed rect., Sliding rect.
10, 2.11732, 2.22268
15, 2.75896, 2.94796
20, 2.97441, 3.27869
25, 3.42014, 3.80065
30, 3.40864, 4.01274
35, 3.36733, 3.96491
40, 3.60586, 4.19115
45, 3.97827, 4.7549
50, 3.87954, 4.51822
55, 4.30482, 5.05345
60, 4.49098, 5.14562
65, 4.94903, 5.44208
70, 5.04597, 5.63411
75, 5.12131, 5.74327
80, 5.1285, 5.63831
85, 5.15332, 5.68721
90, 5.23179, 5.94469
95, 5.19626, 5.73725
100, 5.24773, 5.88901
