n, Fixed rect., Sliding rect.
10, 4.25463, 4.39937
15, 5.71879, 5.9901
20, 6.89017, 7.03703
25, 8.49796, 8.3717
30, 8.70656, 9.01377
35, 8.8383, 9.05518
40, 10.0178, 9.84092
45, 11.5743, 11.0661
50, 11.0529, 10.4027
55, 13.0501, 11.6432
60, 13.0955, 12.0189
65, 13.8462, 12.4768
70, 14.9071, 13.1315
75, 14.5076, 13.3553
80, 15.1076, 13.3633
85, 15.3069, 14.0009
90, 16.2613, 14.6823
95, 14.8087, 13.7082
100, 15.6376, 14.2139
