n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.447348, 1.01657, 0.449942, 0.773773
15, 0.593931, 1.14794, 0.612231, 1.08032
20, 0.6428, 1.13409, 0.686943, 1.26858
25, 0.78356, 1.29359, 0.870405, 1.49023
30, 0.773569, 1.3037, 0.895583, 1.51806
35, 0.829386, 1.30406, 0.990151, 1.53856
40, 0.917677, 1.33076, 1.06944, 1.6863
45, 1.05723, 1.45771, 1.24807, 1.82389
50, 1.04446, 1.41731, 1.24404, 1.77109
55, 1.16605, 1.47613, 1.39106, 1.96639
60, 1.2582, 1.46531, 1.47369, 1.88096
65, 1.42614, 1.52904, 1.57657, 2.04501
70, 1.51697, 1.6096, 1.7161, 2.10224
75, 1.55072, 1.59954, 1.76224, 2.09072
80, 1.54004, 1.63412, 1.71304, 2.00135
85, 1.55182, 1.68008, 1.73446, 2.16808
90, 1.58782, 1.71285, 1.81936, 2.25261
95, 1.60671, 1.71386, 1.80063, 2.17177
100, 1.62002, 1.74156, 1.8428, 2.22595
