n, Fixed rect., Sliding rect.
10, 0.893446, 0.785041
15, 0.953876, 0.854068
20, 0.947861, 0.927885
25, 1.20874, 1.22317
30, 1.18935, 1.15565
35, 1.17237, 1.21748
40, 1.2448, 1.22693
45, 1.46677, 1.55128
50, 1.43521, 1.47986
55, 1.75219, 1.88933
60, 2.02516, 2.1417
65, 2.35385, 2.51945
70, 2.41518, 2.70619
75, 2.46262, 2.7074
80, 2.54599, 2.77487
85, 2.41576, 2.63208
90, 2.68695, 2.87191
95, 2.49883, 2.70016
100, 2.68416, 2.8586
