n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.64004, 3.35377, 0.973519, 1.33913
15, 2.26334, 4.335, 1.35738, 2.21305
20, 2.68976, 4.76664, 1.60449, 2.85362
25, 3.40758, 6.15437, 2.04423, 3.63572
30, 3.58553, 6.43049, 2.17786, 4.02333
35, 3.91639, 6.84789, 2.42356, 4.1756
40, 4.24438, 7.30888, 2.69616, 4.61527
45, 4.75942, 7.62392, 3.18312, 5.32125
50, 4.48759, 7.7814, 3.35205, 5.31842
55, 4.9786, 8.41109, 3.86996, 5.828
60, 5.08329, 8.16866, 4.26136, 5.89746
65, 5.66598, 9.17553, 4.75003, 6.60136
70, 5.9732, 8.85449, 5.14604, 6.53448
75, 6.06382, 9.10277, 5.3791, 6.75538
80, 6.27326, 9.14884, 5.37941, 6.70043
85, 6.31192, 9.16365, 5.33273, 7.29801
90, 6.59438, 9.6877, 5.72096, 7.71374
95, 6.29764, 9.61684, 5.53274, 7.64201
100, 6.44542, 9.76687, 5.65839, 7.92748
