n, Fixed rect., Sliding rect.
10, 4.05127, 2.00471
20, 4.20662, 2.89468
30, 4.29501, 3.29051
40, 4.32047, 3.6372
50, 4.62682, 4.60751
60, 4.42059, 4.34102
70, 4.58402, 4.83041
80, 4.70968, 4.97884
90, 4.59273, 5.02228
100, 4.71256, 5.05042
