n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.34899, 2.63712, 1.0975, 1.2833
20, 2.4208, 2.50031, 1.58913, 2.01017
30, 2.55829, 2.61421, 1.97178, 2.53928
40, 2.55007, 2.60282, 2.22556, 2.71232
50, 2.60735, 2.6185, 2.55094, 2.95158
60, 2.51982, 2.67898, 2.64747, 3.27954
70, 2.59873, 2.76238, 2.84557, 3.33686
80, 2.61091, 2.71426, 2.90876, 3.40478
90, 2.65142, 2.77436, 2.92068, 3.73139
100, 2.63784, 2.68722, 2.89397, 3.79494
