n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.38229, 7.18948, 0.42558, 1.5566
15, 2.05277, 6.8547, 0.522425, 1.91882
20, 2.39157, 6.89372, 0.696598, 2.33719
25, 2.91367, 8.01044, 0.858686, 3.0821
30, 2.69239, 7.87333, 0.962659, 2.87131
35, 2.97559, 7.56914, 1.1176, 3.27457
40, 2.89342, 8.31752, 1.30688, 3.90595
45, 3.14405, 8.07133, 1.55046, 3.76185
50, 3.42474, 7.72482, 2.17077, 3.82385
55, 3.06943, 8.24632, 2.32003, 4.27726
60, 3.05786, 7.56533, 2.31442, 4.02054
65, 3.10957, 9.12266, 2.7504, 4.87486
70, 3.1912, 8.42065, 3.15731, 4.66145
75, 3.41595, 8.74775, 3.22914, 4.83797
80, 3.32932, 7.7493, 2.9957, 4.67648
85, 3.42807, 8.54545, 3.40993, 5.34504
90, 3.58927, 8.32656, 3.18169, 5.13351
95, 3.17301, 7.94155, 3.17637, 5.23618
100, 3.56625, 8.55668, 3.26237, 5.46263
