n, Fixed rect., Sliding rect.
10, 7.72851, 4.62078
15, 8.46874, 5.78356
20, 8.98679, 6.81901
25, 10.4024, 8.56071
30, 10.0084, 8.27328
35, 10.7328, 10.0959
40, 10.6841, 9.71423
45, 11.0708, 11.0385
50, 11.812, 11.9995
55, 11.3911, 11.3211
60, 11.528, 11.1586
65, 12.0593, 12.2413
70, 12.0451, 12.3007
75, 12.1757, 12.0361
80, 12.4753, 12.4115
85, 12.0963, 11.7703
90, 12.1207, 12.3674
95, 12.3202, 12.1578
100, 12.9619, 12.9675
