n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.75171, 4.7122, 6.0851, 3.7238
15, 7.08305, 4.96883, 6.4874, 4.31752
20, 6.94412, 4.93654, 6.49084, 4.47196
25, 6.9623, 4.8772, 6.56987, 4.45117
30, 6.79629, 4.63678, 6.4588, 4.2193
35, 6.73474, 4.84963, 6.40747, 4.47717
40, 6.54513, 4.70411, 6.31559, 4.2444
45, 6.74612, 4.73339, 6.51747, 4.27325
50, 6.72554, 4.68848, 6.56116, 4.26302
55, 6.74403, 4.7736, 6.60687, 4.35251
60, 6.65135, 4.64131, 6.56673, 4.21969
65, 6.90748, 4.69221, 6.84459, 4.37461
70, 6.68808, 4.63614, 6.66868, 4.27286
75, 6.70095, 4.68228, 6.70486, 4.45611
80, 6.59382, 4.60653, 6.63989, 4.26916
85, 6.64305, 4.61188, 6.68514, 4.34541
90, 6.66168, 4.5462, 6.69284, 4.36735
95, 6.72116, 4.55557, 6.76246, 4.36581
100, 6.56542, 4.54782, 6.59562, 4.41436
