n, Fixed rect., Sliding rect.
10, 5.27226, 2.62861
15, 5.6044, 3.43912
20, 5.12544, 3.24749
25, 5.19268, 3.65687
30, 4.87507, 3.42745
35, 5.08457, 3.75631
40, 4.87396, 3.71376
45, 4.91691, 3.96086
50, 5.03858, 4.42856
55, 5.18, 4.60416
60, 4.89031, 4.70123
65, 4.9925, 4.906
70, 5.06846, 5.20934
75, 5.10052, 5.2483
80, 4.99951, 5.42424
85, 5.00627, 5.32237
90, 5.08709, 5.39852
95, 5.2463, 5.48574
100, 5.09147, 5.45289
