n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.71024, 2.7187, 1.27637, 1.51113
15, 2.90591, 2.7656, 1.59529, 1.97045
20, 2.57952, 2.50079, 1.51508, 1.9193
25, 2.49294, 2.41652, 1.59447, 1.89576
30, 2.33124, 2.14533, 1.60091, 1.64754
35, 2.40549, 2.21945, 1.72129, 1.78461
40, 2.16697, 2.17923, 1.62188, 1.63749
45, 2.30613, 2.09839, 1.82976, 1.56604
50, 2.30715, 1.96219, 1.94182, 1.48401
55, 2.31086, 2.09801, 2.03574, 1.60873
60, 2.2514, 2.04445, 2.13687, 1.55996
65, 2.24082, 1.99668, 2.11158, 1.64252
70, 2.24027, 1.9817, 2.21724, 1.57025
75, 2.19814, 2.06934, 2.23906, 1.81413
80, 2.19348, 2.01735, 2.27695, 1.62809
85, 2.11167, 1.99007, 2.20766, 1.69367
90, 2.14317, 1.90414, 2.22374, 1.70979
95, 2.13407, 1.90712, 2.22905, 1.70012
100, 2.13541, 1.8895, 2.21055, 1.75792
