n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.753967, 2.23998, 0.284851, 1.23433
15, 0.699829, 2.22946, 0.334515, 1.61592
20, 0.614346, 1.83115, 0.32526, 1.39865
25, 0.600463, 1.86728, 0.356586, 1.46996
30, 0.583305, 1.62545, 0.339916, 1.34995
35, 0.58854, 1.70895, 0.388266, 1.37664
40, 0.554018, 1.6806, 0.379424, 1.33964
45, 0.54115, 1.61521, 0.408927, 1.32792
50, 0.56504, 1.56774, 0.468741, 1.30253
55, 0.568791, 1.69649, 0.493997, 1.45138
60, 0.557638, 1.67682, 0.531834, 1.37281
65, 0.531535, 1.59844, 0.537794, 1.45125
70, 0.561102, 1.68091, 0.599809, 1.57359
75, 0.542825, 1.69936, 0.590012, 1.48834
80, 0.570115, 1.69448, 0.634337, 1.69224
85, 0.545191, 1.67677, 0.612767, 1.60705
90, 0.558559, 1.68102, 0.605748, 1.79744
95, 0.554586, 1.68403, 0.61304, 1.77125
100, 0.561155, 1.73585, 0.616595, 1.76859
