n, Fixed rect., Sliding rect.
10, 5.16275, 2.4759
15, 5.65046, 3.30061
20, 5.0575, 3.06295
25, 4.948, 3.25584
30, 4.68773, 3.22636
35, 4.86377, 3.46417
40, 4.32754, 3.28509
45, 4.63155, 3.67373
50, 4.63696, 3.89839
55, 4.62533, 4.05267
60, 4.50724, 4.23319
65, 4.51569, 4.21365
70, 4.5236, 4.40329
75, 4.43802, 4.44998
80, 4.45609, 4.52525
85, 4.28067, 4.37914
90, 4.30493, 4.4143
95, 4.33232, 4.42078
100, 4.32714, 4.40714
