n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.77955, 2.77599, 1.33195, 1.53897
15, 2.93724, 2.84275, 1.63517, 2.06665
20, 2.62692, 2.50989, 1.56795, 1.88827
25, 2.61817, 2.50898, 1.73711, 1.99041
30, 2.41704, 2.21769, 1.68417, 1.77029
35, 2.50772, 2.34056, 1.81749, 1.84884
40, 2.2893, 2.27664, 1.76152, 1.74761
45, 2.44549, 2.26059, 2.02822, 1.70642
50, 2.37694, 2.09001, 2.00677, 1.66193
55, 2.4472, 2.23136, 2.19727, 1.79591
60, 2.38558, 2.21453, 2.24911, 1.76232
65, 2.31624, 2.18042, 2.18465, 1.88968
70, 2.3578, 2.15555, 2.36001, 1.76464
75, 2.3717, 2.28279, 2.299, 1.8854
80, 2.31999, 2.24465, 2.36312, 1.9377
85, 2.34046, 2.25718, 2.34023, 1.94462
90, 2.30407, 2.18652, 2.36895, 2.04737
95, 2.36952, 2.11393, 2.47547, 1.99395
100, 2.26167, 2.15903, 2.27443, 2.16085
