n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.38352, 4.75654, 5.64281, 3.78337
15, 6.68836, 5.08355, 6.04905, 4.49939
20, 6.56214, 4.95537, 6.07103, 4.50423
25, 6.60838, 5.02845, 6.19834, 4.60666
30, 6.44499, 4.74233, 6.0548, 4.42028
35, 6.3732, 5.01752, 6.05092, 4.6347
40, 6.24513, 4.85479, 5.96542, 4.44935
45, 6.38083, 4.91583, 6.14572, 4.54872
50, 6.41513, 4.95758, 6.27118, 4.62202
55, 6.45288, 5.07381, 6.29487, 4.78207
60, 6.31408, 4.98991, 6.26838, 4.60143
65, 6.59528, 4.99731, 6.60287, 4.8276
70, 6.39798, 5.01011, 6.4331, 4.87394
75, 6.41574, 5.01012, 6.45947, 4.75514
80, 6.34132, 4.98431, 6.46902, 4.98792
85, 6.37777, 5.0185, 6.47894, 4.94273
90, 6.42498, 5.01291, 6.48656, 5.18247
95, 6.50375, 5.03344, 6.58725, 5.1695
100, 6.32658, 5.04569, 6.4193, 5.13307
