n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 4.34091, 7.48403, 0.796992, 2.23951
15, 4.89398, 8.30224, 1.04606, 3.27591
20, 4.54932, 7.11315, 1.07244, 3.07051
25, 4.81749, 7.971, 1.27641, 3.22723
30, 4.90796, 6.3003, 1.37284, 3.09681
35, 5.08678, 6.99843, 1.81007, 3.24023
40, 4.21102, 7.14477, 1.92608, 3.10965
45, 4.63948, 7.18413, 2.13111, 3.14129
50, 4.51893, 6.27967, 2.75974, 2.96566
55, 4.79683, 7.03272, 3.17229, 3.33357
60, 4.54825, 6.90668, 3.33304, 3.11379
65, 4.35456, 6.94565, 3.44863, 3.33706
70, 4.42509, 7.26392, 4.1029, 3.31192
75, 4.47025, 7.32659, 4.08235, 3.54194
80, 4.59522, 7.50005, 4.47785, 3.50092
85, 5.02141, 7.06033, 4.62194, 3.65115
90, 4.60195, 7.37816, 4.30895, 3.6758
95, 4.31022, 6.98835, 4.35246, 3.85586
100, 5.04894, 7.05637, 4.89116, 4.15968
