n, Fixed rect., Sliding rect.
10, 7.87333, 4.39937
15, 8.93855, 5.9901
20, 9.85142, 7.03703
25, 11.278, 8.3717
30, 11.2234, 9.01377
35, 10.9121, 9.05518
40, 11.773, 9.84092
45, 12.7704, 11.0661
50, 12.2388, 10.4027
55, 13.3807, 11.6432
60, 13.1049, 12.0189
65, 13.461, 12.4768
70, 13.9724, 13.1315
75, 13.8046, 13.3553
80, 14.2623, 13.3633
85, 14.7534, 14.0009
90, 15.441, 14.6823
95, 13.9238, 13.7082
100, 14.7116, 14.2139
