n, Fixed rect., Sliding rect.
10, 5.21866, 1.99634
15, 5.50871, 2.45909
20, 5.7444, 2.69166
25, 6.86039, 3.57615
30, 6.42683, 3.44747
35, 6.73424, 3.82584
40, 6.66939, 3.82368
45, 7.4192, 4.81746
50, 6.44249, 4.60003
55, 7.0631, 5.78755
60, 7.04965, 6.22696
65, 6.73007, 6.27315
70, 6.7426, 6.44942
75, 6.63741, 6.60816
80, 6.97662, 6.45427
85, 6.23954, 5.98996
90, 7.38544, 6.97061
95, 7.07964, 6.52701
100, 7.13748, 6.86032
