n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.91857, 5.87037, 0.973519, 1.33913
15, 3.5523, 6.29609, 1.35738, 2.21305
20, 3.75074, 6.35806, 1.60449, 2.85362
25, 4.55388, 7.78905, 2.04423, 3.63572
30, 4.63772, 7.63621, 2.17786, 4.02333
35, 4.91425, 7.48491, 2.42356, 4.1756
40, 5.02435, 7.93028, 2.69616, 4.61527
45, 5.57084, 8.56752, 3.18312, 5.32125
50, 5.15018, 8.46867, 3.35205, 5.31842
55, 5.4897, 8.87893, 3.86996, 5.828
60, 5.42344, 8.91253, 4.26136, 5.89746
65, 5.83036, 9.42323, 4.75003, 6.60136
70, 6.03654, 9.44676, 5.14604, 6.53448
75, 6.12868, 9.63192, 5.3791, 6.75538
80, 6.33202, 9.60909, 5.37941, 6.70043
85, 6.36031, 9.59491, 5.33273, 7.29801
90, 6.64429, 9.8727, 5.72096, 7.71374
95, 6.33296, 9.87604, 5.53274, 7.64201
100, 6.483, 9.97489, 5.65839, 7.92748
