n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.27291, 6.07475, 3.31516, 1.89786
15, 6.87443, 6.55256, 3.92486, 3.14452
20, 7.49506, 6.64768, 4.60905, 3.94639
25, 8.10581, 7.5642, 5.2218, 5.08
30, 8.08197, 7.50392, 5.49975, 5.58792
35, 8.11776, 7.69329, 5.49085, 5.8013
40, 8.30145, 8.25888, 5.94599, 6.39451
45, 8.79353, 8.60136, 6.67068, 7.08879
50, 8.55777, 8.2837, 6.30758, 7.18939
55, 8.97914, 8.91266, 7.04827, 7.79048
60, 8.89353, 8.78578, 7.15499, 7.64354
65, 9.05267, 9.26076, 7.60809, 8.42581
70, 9.16147, 9.18588, 7.70364, 8.39589
75, 9.08632, 9.2348, 7.73942, 8.48633
80, 9.18182, 9.39687, 7.76371, 8.55218
85, 9.20467, 9.55484, 8.02716, 8.98654
90, 9.63831, 9.62266, 8.46945, 9.40007
95, 9.03493, 9.67088, 8.05667, 9.33353
100, 9.52544, 9.77147, 8.19625, 9.38288
