n, conflicts rect., conflicts circ., angle rect., value circ.
10, 2, 2, 21.7218, 1.5566
15, 4, 3, 26.1729, 1.92857
20, 6, 5, 32.6385, 2.33719
25, 8, 7, 38.2679, 3.12892
30, 10, 9, 40.5379, 2.88008
35, 11, 11, 45.6055, 3.28504
40, 13, 12, 51.5225, 3.90844
45, 14, 14, 55.6505, 3.79113
50, 17, 16, 63.3018, 3.87647
55, 19, 18, 66.8628, 4.28657
60, 21, 20, 69.6057, 4.05301
65, 22, 21, 74.8248, 4.88164
70, 24, 23, 75.4621, 4.70997
75, 26, 25, 76.7389, 4.9011
80, 28, 27, 74.9717, 4.74816
85, 30, 28, 78.8415, 5.36056
90, 31, 31, 77.0914, 5.16905
95, 34, 33, 76.2043, 5.28802
100, 35, 34, 77.0941, 5.52282
