n, conflicts rect., conflicts circ., angle rect., value circ.
10, 2, 2, 40.5128, 1.35801
15, 5, 5, 50.6712, 2.21986
20, 7, 7, 55.6999, 2.88203
25, 9, 10, 62.5727, 3.69573
30, 12, 12, 63.8064, 4.08886
35, 14, 13, 65.7683, 4.17896
40, 16, 16, 68.4858, 4.63258
45, 18, 18, 71.9192, 5.34158
50, 20, 20, 72.8819, 5.33893
55, 23, 22, 75.0841, 5.82995
60, 25, 24, 77.2181, 5.89746
65, 27, 27, 79.1707, 6.60859
70, 29, 29, 81.045, 6.54503
75, 31, 31, 81.1525, 6.8052
80, 33, 33, 81.2991, 6.73074
85, 36, 35, 81.2146, 7.31455
90, 38, 37, 81.2629, 7.74683
95, 40, 40, 81.4718, 7.65134
100, 42, 42, 81.4706, 7.95909
