n, conflicts rect., conflicts circ., angle rect., value circ.
10, 2, 2, 30.3655, 2.16801
15, 4, 4, 37.4513, 3.14352
20, 5, 5, 37.0992, 3.13593
25, 7, 7, 40.8367, 3.14845
30, 9, 8, 41.2501, 2.93592
35, 11, 10, 47.0785, 3.06878
40, 12, 12, 48.9076, 2.89554
45, 14, 14, 51.3918, 2.96394
50, 16, 15, 57.7131, 2.68016
55, 17, 17, 63.4865, 2.98242
60, 18, 18, 68.0701, 2.72946
65, 21, 20, 68.63, 2.95982
70, 22, 22, 71.7508, 2.94709
75, 24, 23, 71.9395, 3.42894
80, 26, 25, 73.4061, 2.99424
85, 28, 27, 71.7058, 3.26546
90, 29, 28, 72.4777, 3.26143
95, 31, 30, 72.0469, 3.30101
100, 32, 31, 72.0111, 3.70473
