n, Fixed rect., Sliding rect.
10, 4.79403, 5.40114
15, 6.57521, 7.24286
20, 7.51926, 8.65032
25, 8.58858, 9.358
30, 9.9632, 10.2071
35, 10.1284, 10.7541
40, 10.8329, 12.0414
45, 11.9757, 13.1613
50, 13.0486, 14.002
55, 13.4975, 14.1176
60, 14.8734, 14.6826
65, 15.5387, 15.526
70, 16.1796, 15.9681
75, 16.3914, 16.2271
80, 16.3736, 16.1807
85, 16.537, 16.7623
90, 17.5689, 17.4252
95, 17.4688, 16.9259
100, 17.3539, 17.4913
