n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.268047, 1.15506, 0.184822, 0.817119
15, 0.267511, 1.1652, 0.216017, 0.969563
20, 0.301122, 1.10451, 0.2694, 1.1264
25, 0.340392, 1.25178, 0.301917, 1.31426
30, 0.32642, 1.09993, 0.316428, 1.16799
35, 0.352753, 1.14224, 0.351107, 1.31271
40, 0.359626, 1.21997, 0.36331, 1.43678
45, 0.392569, 1.12229, 0.417285, 1.40859
50, 0.445801, 1.14401, 0.485831, 1.41322
55, 0.444025, 1.18521, 0.490462, 1.54919
60, 0.45326, 1.11563, 0.476149, 1.37746
65, 0.497685, 1.2303, 0.537349, 1.68605
70, 0.525545, 1.16906, 0.574217, 1.59089
75, 0.536997, 1.20586, 0.59157, 1.62164
80, 0.522692, 1.13223, 0.556006, 1.52664
85, 0.51791, 1.15578, 0.587154, 1.70874
90, 0.534268, 1.15722, 0.59056, 1.66928
95, 0.505851, 1.09951, 0.566168, 1.64925
100, 0.527611, 1.19654, 0.583507, 1.7538
