n, Fixed rect., Sliding rect.
10, 2.61669, 2.68972
15, 3.22781, 3.42675
20, 3.6852, 4.16869
25, 4.16484, 4.71034
30, 4.46743, 4.85609
35, 4.48901, 5.08979
40, 4.62238, 5.36966
45, 4.926, 5.94555
50, 5.21478, 6.00411
55, 5.40058, 6.03971
60, 5.7149, 6.36507
65, 6.11159, 6.69101
70, 6.3408, 7.02105
75, 6.33501, 7.18765
80, 6.53112, 7.17396
85, 6.45317, 7.17532
90, 6.66754, 7.35545
95, 6.50954, 7.13009
100, 6.61653, 7.37191
