n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.19096, 3.3976, 6.16894, 3.1775
15, 6.41829, 3.80528, 6.41427, 3.67864
20, 6.32295, 3.80935, 6.35061, 3.88319
25, 6.48766, 4.08482, 6.51866, 4.21567
30, 6.34534, 4.05153, 6.3969, 4.17376
35, 6.38153, 4.24454, 6.47188, 4.48563
40, 6.36513, 4.31099, 6.44127, 4.61018
45, 6.46041, 4.27026, 6.60182, 4.6554
50, 6.41572, 4.31916, 6.58502, 4.69224
55, 6.48199, 4.48591, 6.61124, 4.96812
60, 6.5103, 4.38173, 6.58568, 4.7115
65, 6.60756, 4.62022, 6.69094, 5.22801
70, 6.63984, 4.55754, 6.72504, 5.12836
75, 6.66137, 4.64429, 6.77006, 5.19387
80, 6.70676, 4.56115, 6.77883, 5.07973
85, 6.62777, 4.57837, 6.75232, 5.31722
90, 6.64306, 4.66828, 6.76679, 5.35103
95, 6.69067, 4.61679, 6.79954, 5.34832
100, 6.63388, 4.69142, 6.7421, 5.42756
