n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.928213, 1.31705, 0.981412, 1.02271
15, 1.12831, 1.41284, 1.18529, 1.29649
20, 1.19806, 1.44253, 1.34913, 1.53437
25, 1.35772, 1.62638, 1.59377, 1.80653
30, 1.36712, 1.49257, 1.61426, 1.65458
35, 1.51042, 1.59664, 1.81094, 1.90766
40, 1.49082, 1.69668, 1.78432, 2.06028
45, 1.63484, 1.60795, 2.07006, 2.06324
50, 1.77531, 1.64582, 2.25718, 2.0957
55, 1.8204, 1.73555, 2.19247, 2.32358
60, 1.87972, 1.64109, 2.14973, 2.03241
65, 2.10568, 1.8152, 2.34302, 2.53942
70, 2.18109, 1.74302, 2.39406, 2.42922
75, 2.18814, 1.78877, 2.46284, 2.46102
80, 2.22594, 1.67518, 2.43996, 2.31822
85, 2.12025, 1.73727, 2.40321, 2.62916
90, 2.17472, 1.75753, 2.48015, 2.57909
95, 2.1695, 1.67312, 2.41973, 2.56972
100, 2.2269, 1.81839, 2.49128, 2.7175
