n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.83611, 4.07681, 3.15467, 2.34698
15, 3.6982, 4.82444, 3.81794, 3.14703
20, 4.19053, 5.27518, 4.25461, 3.7783
25, 5.09157, 6.33524, 5.02979, 4.85589
30, 5.19238, 6.00835, 5.09667, 4.68286
35, 5.59307, 6.65949, 5.65185, 5.51156
40, 5.8494, 7.16579, 5.6913, 6.00896
45, 6.40106, 7.30756, 6.27298, 6.09807
50, 6.80634, 7.67125, 6.71625, 6.33175
55, 6.73774, 8.05249, 6.34283, 6.99302
60, 6.79747, 7.77612, 6.34379, 6.37955
65, 7.56557, 8.81783, 6.77702, 7.84876
70, 7.60956, 8.93257, 6.82804, 7.69044
75, 7.47646, 8.648, 6.59089, 7.8185
80, 7.48394, 8.56711, 6.78406, 7.43551
85, 7.51849, 8.99375, 6.57913, 8.52008
90, 7.70475, 9.1888, 6.89998, 8.27551
95, 7.67702, 8.84788, 6.80062, 8.58881
100, 8.02012, 9.83305, 7.19873, 8.81305
