n, Fixed rect., Sliding rect.
10, 3.71931, 4.62078
15, 5.01405, 5.78356
20, 5.89717, 6.81901
25, 7.75895, 8.56071
30, 8.16397, 8.27328
35, 9.00851, 10.0959
40, 9.34173, 9.71423
45, 10.5912, 11.0385
50, 11.3661, 11.9995
55, 11.4213, 11.3211
60, 11.5028, 11.1586
65, 12.8355, 12.2413
70, 13.2941, 12.3007
75, 13.2351, 12.0361
80, 13.4443, 12.4115
85, 13.3862, 11.7703
90, 13.4997, 12.3674
95, 13.483, 12.1578
100, 13.9274, 12.9675
