n, Fixed rect., Sliding rect.
10, 3.08522, 0.853295
15, 2.84613, 0.928039
20, 2.74705, 1.01755
25, 2.9136, 1.36212
30, 2.87097, 1.33982
35, 2.76049, 1.40678
40, 2.77098, 1.41467
45, 2.8745, 1.76051
50, 2.63545, 1.74578
55, 2.72075, 2.29184
60, 2.68432, 2.35585
65, 2.6869, 2.52176
70, 2.59473, 2.69078
75, 2.62141, 2.70125
80, 2.68916, 2.77683
85, 2.56242, 2.63693
90, 2.81528, 2.87191
95, 2.60998, 2.70016
100, 2.78816, 2.85726
