n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.54733, 1.937, 0.467566, 0.399766
15, 1.43695, 1.73247, 0.512633, 0.451716
20, 1.37306, 1.6461, 0.546942, 0.471265
25, 1.46598, 1.63526, 0.720413, 0.572607
30, 1.43149, 1.63435, 0.699928, 0.576668
35, 1.38385, 1.56921, 0.729066, 0.620049
40, 1.38078, 1.58157, 0.74084, 0.659922
45, 1.44142, 1.58218, 0.90973, 0.703009
50, 1.30931, 1.55077, 0.893217, 0.656669
55, 1.35694, 1.57943, 1.15661, 0.760502
60, 1.33757, 1.53491, 1.19371, 0.791869
65, 1.33257, 1.50892, 1.25738, 0.851522
70, 1.29445, 1.54655, 1.34544, 0.862322
75, 1.30296, 1.52886, 1.35204, 0.9115
80, 1.34031, 1.57149, 1.39112, 0.992343
85, 1.27574, 1.49127, 1.32127, 0.992232
90, 1.40029, 1.51404, 1.43879, 1.0653
95, 1.30146, 1.52528, 1.35273, 1.09999
100, 1.39384, 1.51016, 1.43428, 1.23042
