n, Fixed rect., Sliding rect.
10, 5.26953, 5.38611
15, 6.65719, 7.07555
20, 6.8848, 7.32911
25, 7.4005, 8.06749
30, 7.43525, 7.80217
35, 8.62311, 8.85581
40, 8.77084, 8.93378
45, 9.5033, 9.42248
50, 10.9135, 10.8405
55, 11.6942, 11.2877
60, 11.862, 10.9615
65, 12.587, 11.3409
70, 13.2654, 12.1719
75, 14.1115, 12.4483
80, 13.9852, 12.5902
85, 13.859, 12.2285
90, 13.9494, 12.5314
95, 14.5046, 12.8798
100, 13.7121, 12.9028
