n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.369884, 1.43327, 0.284851, 1.23433
15, 0.382523, 1.54913, 0.334515, 1.61592
20, 0.355456, 1.32799, 0.32526, 1.39865
25, 0.374454, 1.42455, 0.356586, 1.46996
30, 0.351928, 1.18813, 0.339916, 1.34995
35, 0.383818, 1.27374, 0.388266, 1.37664
40, 0.35952, 1.19397, 0.379424, 1.33964
45, 0.374492, 1.17176, 0.408927, 1.32792
50, 0.427847, 1.1436, 0.468741, 1.30253
55, 0.459599, 1.23519, 0.493997, 1.45138
60, 0.481441, 1.22371, 0.531834, 1.37281
65, 0.498226, 1.17479, 0.537794, 1.45125
70, 0.548585, 1.29303, 0.599809, 1.57359
75, 0.532589, 1.29923, 0.590012, 1.48834
80, 0.560589, 1.30853, 0.634337, 1.69224
85, 0.536879, 1.32604, 0.612767, 1.60705
90, 0.55096, 1.37487, 0.605748, 1.79744
95, 0.547586, 1.38346, 0.61304, 1.77125
100, 0.554932, 1.46737, 0.616595, 1.76859
