n, Fixed rect., Sliding rect.
10, 2.58252, 2.4759
15, 3.27135, 3.30061
20, 2.95769, 3.06295
25, 3.09897, 3.25584
30, 2.83705, 3.22636
35, 3.11503, 3.46417
40, 2.73915, 3.28509
45, 3.16233, 3.67373
50, 3.36384, 3.89839
55, 3.61086, 4.05267
60, 3.78269, 4.23319
65, 4.12702, 4.21365
70, 4.31303, 4.40329
75, 4.26217, 4.44998
80, 4.25476, 4.52525
85, 4.11798, 4.37914
90, 4.17097, 4.4143
95, 4.16583, 4.42078
100, 4.17763, 4.40714
