n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.4554, 4.97965, 0.631087, 2.1643
15, 1.66771, 5.32834, 0.819703, 3.11892
20, 1.74605, 4.76494, 0.831274, 3.13593
25, 1.86155, 5.46269, 0.92738, 3.1469
30, 1.74773, 4.59384, 0.958106, 2.92104
35, 2.0675, 4.94094, 1.19853, 3.06848
40, 1.62427, 4.48825, 1.23513, 2.89187
45, 1.89019, 4.71183, 1.30576, 2.93124
50, 2.06202, 3.91984, 1.6159, 2.68016
55, 2.27694, 4.4736, 1.93263, 2.94146
60, 2.38845, 4.30254, 2.0929, 2.72578
65, 2.35021, 4.4419, 2.22666, 2.9288
70, 2.38661, 4.52312, 2.49426, 2.92218
75, 2.59409, 5.03068, 2.57357, 3.41119
80, 2.432, 4.91059, 2.57216, 2.97667
85, 2.68489, 5.00563, 2.67569, 3.25719
90, 2.3006, 5.25857, 2.54565, 3.24069
95, 2.38629, 4.94711, 2.5409, 3.29068
100, 2.41987, 5.34031, 2.41224, 3.67754
