n, Fixed rect., Sliding rect.
10, 2.73212, 2.51418
15, 3.50553, 3.27578
20, 3.14906, 3.08975
25, 3.37629, 3.43286
30, 3.05548, 3.11648
35, 3.35018, 3.48284
40, 3.21287, 3.48399
45, 3.46544, 3.60111
50, 3.78513, 4.08775
55, 4.11675, 4.40384
60, 4.17344, 4.60207
65, 4.57537, 5.01567
70, 4.83327, 5.38916
75, 4.90809, 5.41808
80, 4.83675, 5.52885
85, 4.86061, 5.45751
90, 4.92313, 5.53396
95, 5.07324, 5.64929
100, 4.92433, 5.5812
