n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 11.0634, 7.04901, 11.2525, 6.85571
15, 11.5922, 7.89303, 11.7505, 8.0193
20, 11.5349, 8.1091, 11.679, 8.1026
25, 11.6841, 8.48584, 11.797, 8.19798
30, 11.5024, 7.99036, 11.6799, 7.71785
35, 11.4187, 8.6781, 11.5513, 8.11147
40, 11.1153, 8.24395, 11.3064, 7.75457
45, 11.4098, 8.39772, 11.5851, 7.84125
50, 11.5911, 8.02978, 11.745, 7.66801
55, 11.6805, 8.44801, 11.8553, 7.87384
60, 11.5495, 8.28478, 11.6506, 7.72497
65, 11.9911, 8.59827, 11.8821, 8.03593
70, 11.7431, 8.40951, 11.6165, 7.79321
75, 11.8109, 8.57093, 11.7414, 8.02836
80, 11.6905, 8.52805, 11.5564, 7.71305
85, 11.9444, 8.70528, 11.9119, 7.94482
90, 11.7312, 8.76267, 11.6984, 8.00242
95, 11.7348, 8.63637, 11.7237, 7.97796
100, 11.6678, 8.76229, 11.6492, 7.93334
