n, Fixed rect., Sliding rect.
10, 9.48512, 5.36633
15, 11.0364, 7.35663
20, 10.7407, 7.41448
25, 10.5718, 7.86803
30, 10.2635, 7.7842
35, 11.0135, 8.44004
40, 10.0127, 8.10508
45, 10.5393, 9.08152
50, 10.6783, 9.57789
55, 11.3009, 10.2578
60, 11.0957, 10.0582
65, 10.6249, 9.98462
70, 11.3351, 10.3322
75, 11.0483, 10.3938
80, 11.0169, 10.5592
85, 10.8206, 10.5561
90, 10.802, 10.1721
95, 10.9601, 10.4234
100, 10.9234, 10.6295
