n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 7.26941, 8.52888, 4.09032, 3.66282
15, 7.91607, 9.73836, 4.76512, 5.59615
20, 7.61028, 8.88632, 4.65105, 5.0589
25, 7.62714, 9.40802, 5.11116, 5.61068
30, 7.15018, 8.14308, 4.81233, 5.23536
35, 7.45221, 9.10591, 5.35716, 5.70257
40, 7.02313, 8.98805, 5.28914, 5.48347
45, 7.28867, 8.64576, 5.53209, 5.57143
50, 7.35523, 8.81543, 6.18336, 5.58189
55, 7.55737, 9.76736, 6.34281, 6.41287
60, 7.29378, 9.47506, 6.09657, 5.84079
65, 7.36406, 9.0989, 6.2999, 6.34289
70, 7.39538, 9.36202, 6.5603, 6.76405
75, 7.77858, 9.89875, 6.72599, 6.34886
80, 7.63551, 10.0584, 6.7804, 7.00555
85, 7.57659, 9.75397, 6.65593, 7.14979
90, 7.63148, 9.72015, 6.73637, 7.46704
95, 7.86432, 9.84974, 6.83999, 7.5823
100, 7.42376, 9.88591, 6.8113, 7.72278
