n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 11.9168, 9.7597, 11.2541, 6.89151
15, 12.3767, 10.3623, 11.7019, 8.19101
20, 12.211, 10.1981, 11.7271, 8.03404
25, 12.3132, 10.5872, 11.913, 8.46172
30, 11.9971, 9.83001, 11.6915, 7.98346
35, 11.9566, 10.3439, 11.6858, 8.39759
40, 11.771, 10.1732, 11.5009, 8.18171
45, 11.8964, 10.0965, 11.722, 8.28345
50, 12.1481, 10.2727, 12.0008, 8.25424
55, 12.1906, 10.6366, 12.0519, 8.68666
60, 11.7481, 10.4194, 11.7404, 8.37508
65, 12.3577, 10.311, 12.1779, 8.72597
70, 12.2188, 10.3909, 12.0838, 8.87848
75, 12.1572, 10.6026, 12.0534, 8.60862
80, 11.9324, 10.6774, 11.9605, 8.88292
85, 12.2795, 10.6206, 12.1918, 9.0154
90, 12.1665, 10.5519, 12.1906, 9.1131
95, 12.1352, 10.7803, 12.1513, 9.29972
100, 12.0079, 10.6899, 12.0665, 9.35687
