n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.605686, 2.06787, 0.184822, 0.817119
15, 0.52418, 1.72717, 0.216017, 0.969563
20, 0.545254, 1.59968, 0.2694, 1.1264
25, 0.58118, 1.68256, 0.301917, 1.31426
30, 0.535968, 1.45797, 0.316428, 1.16799
35, 0.548639, 1.48325, 0.351107, 1.31271
40, 0.533992, 1.50637, 0.36331, 1.43678
45, 0.539223, 1.38108, 0.417285, 1.40859
50, 0.577462, 1.36922, 0.485831, 1.41322
55, 0.540466, 1.43854, 0.490462, 1.54919
60, 0.520758, 1.34242, 0.476149, 1.37746
65, 0.528922, 1.46769, 0.537349, 1.68605
70, 0.538109, 1.35003, 0.574217, 1.59089
75, 0.548434, 1.39401, 0.59157, 1.62164
80, 0.531801, 1.2856, 0.556006, 1.52664
85, 0.52672, 1.32497, 0.587154, 1.70874
90, 0.542234, 1.32547, 0.59056, 1.66928
95, 0.512628, 1.24214, 0.566168, 1.64925
100, 0.533848, 1.33012, 0.583507, 1.7538
