n, Fixed rect., Sliding rect.
10, 4.80328, 2.68972
15, 4.85737, 3.42675
20, 5.3819, 4.16869
25, 5.69272, 4.71034
30, 6.01919, 4.85609
35, 5.94619, 5.08979
40, 6.00289, 5.36966
45, 6.16011, 5.94555
50, 6.35162, 6.00411
55, 6.35869, 6.03971
60, 6.35511, 6.36507
65, 6.53354, 6.69101
70, 6.58355, 7.02105
75, 6.53872, 7.18765
80, 6.72303, 7.17396
85, 6.63642, 7.17532
90, 6.85856, 7.35545
95, 6.70071, 7.13009
100, 6.7626, 7.37191
