n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.85526, 4.62134, 6.28167, 3.63274
15, 7.06489, 5.07742, 6.597, 4.51764
20, 7.02179, 5.17178, 6.59902, 5.02181
25, 7.1825, 5.4616, 6.79686, 5.46159
30, 7.08347, 5.50982, 6.701, 5.73313
35, 7.07019, 5.76575, 6.77664, 6.05131
40, 7.03576, 5.68269, 6.83044, 6.14328
45, 7.13017, 5.80068, 7.04781, 6.22748
50, 7.05667, 5.91561, 6.95989, 6.50017
55, 7.09608, 5.98064, 7.03294, 6.64672
60, 7.11734, 6.02247, 7.13948, 6.65952
65, 7.14577, 6.15563, 7.2277, 6.728
70, 7.14708, 6.14482, 7.31971, 6.89366
75, 7.12962, 6.20531, 7.38915, 6.97522
80, 7.23931, 6.26155, 7.41616, 7.00087
85, 7.1671, 6.23212, 7.37333, 7.03232
90, 7.20424, 6.36397, 7.40626, 7.09652
95, 7.22227, 6.40639, 7.39888, 7.28852
100, 7.18825, 6.29299, 7.39986, 7.17562
