n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.1498, 2.44165, 0.981412, 1.02271
15, 2.17926, 2.20487, 1.18529, 1.29649
20, 2.15371, 2.09919, 1.34913, 1.53437
25, 2.26634, 2.20915, 1.59377, 1.80653
30, 2.15575, 1.98446, 1.61426, 1.65458
35, 2.27978, 2.07529, 1.81094, 1.90766
40, 2.15606, 2.08564, 1.78432, 2.06028
45, 2.21114, 1.95518, 2.07006, 2.06324
50, 2.2751, 1.95219, 2.25718, 2.0957
55, 2.2122, 2.1002, 2.19247, 2.32358
60, 2.1565, 1.95293, 2.14973, 2.03241
65, 2.23825, 2.14143, 2.34302, 2.53942
70, 2.23602, 1.98087, 2.39406, 2.42922
75, 2.23689, 2.0479, 2.46284, 2.46102
80, 2.27007, 1.8891, 2.43996, 2.31822
85, 2.15965, 1.96668, 2.40321, 2.62916
90, 2.21053, 1.98969, 2.48015, 2.57909
95, 2.20178, 1.86696, 2.41973, 2.56972
100, 2.25661, 2.00583, 2.49128, 2.7175
